seed,pathway_type,stage,mean_in_stage,median_in_stage,peak_in_stage
1009,PROSTAD,biopsy_to_pathrep,1.8493150684931507,2.0,5
1009,PROSTAD,mri_to_report,0.36712328767123287,0.0,4
1009,PROSTAD,pathrep_to_treatmdt,1.7561643835616438,2.0,5
1009,PROSTAD,ref_to_mri,1.4301369863013698,1.0,7
1009,PROSTAD,report_to_biopmdt,0.0,0.0,0
1009,PROSTAD,treatmdt_to_outpat,1.7506849315068493,2.0,7
1010,BASELINE,biopmdt_to_biopsy,6.791780821917809,7.0,14
1010,BASELINE,biopsy_to_pathrep,1.7671232876712328,2.0,8
1010,BASELINE,mri_to_report,3.0,3.0,8
1010,BASELINE,pathrep_to_treatmdt,1.8136986301369864,1.0,7
1010,BASELINE,ref_to_mri,10.098630136986301,10.0,19
1010,BASELINE,report_to_biopmdt,1.9945205479452055,2.0,8
1010,BASELINE,treatmdt_to_outpat,1.7205479452054795,1.0,7
1010,PROSTAD,biopmdt_to_biopsy,6.928767123287671,7.0,15
1010,PROSTAD,biopsy_to_pathrep,1.926027397260274,2.0,5
1010,PROSTAD,mri_to_report,0.4,0.0,4
1010,PROSTAD,pathrep_to_treatmdt,2.180821917808219,2.0,5
1010,PROSTAD,ref_to_mri,1.8246575342465754,1.0,8
1010,PROSTAD,report_to_biopmdt,0.0,0.0,0
1010,PROSTAD,treatmdt_to_outpat,2.1342465753424658,2.0,8
1011,BASELINE,biopmdt_to_biopsy,7.30958904109589,7.0,17
1011,BASELINE,biopsy_to_pathrep,1.810958904109589,2.0,6
1011,BASELINE,mri_to_report,2.8876712328767122,2.0,8
1011,BASELINE,pathrep_to_treatmdt,1.9232876712328768,2.0,8
1011,BASELINE,ref_to_mri,9.778082191780822,10.0,21
1011,BASELINE,report_to_biopmdt,1.8986301369863015,2.0,7
1011,BASELINE,treatmdt_to_outpat,1.926027397260274,2.0,7
1011,PROSTAD,biopmdt_to_biopsy,5.484931506849315,5.0,10
1011,PROSTAD,biopsy_to_pathrep,1.5452054794520549,1.0,5
1011,PROSTAD,mri_to_report,0.3835616438356164,0.0,4
1011,PROSTAD,pathrep_to_treatmdt,1.663013698630137,1.0,5
1011,PROSTAD,ref_to_mri,1.5397260273972602,1.0,6
1011,PROSTAD,report_to_biopmdt,0.0,0.0,0
1011,PROSTAD,treatmdt_to_outpat,1.9397260273972603,2.0,6
1012,BASELINE,biopmdt_to_biopsy,5.47945205479452,6.0,10
1012,BASELINE,biopsy_to_pathrep,1.6876712328767123,1.0,6
1012,BASELINE,mri_to_report,3.0684931506849313,3.0,8
1012,BASELINE,pathrep_to_treatmdt,1.7178082191780821,1.0,8
1012,BASELINE,ref_to_mri,11.515068493150684,12.0,18
1012,BASELINE,report_to_biopmdt,2.0273972602739727,2.0,8
1012,BASELINE,treatmdt_to_outpat,1.4657534246575343,1.0,7
1012,PROSTAD,biopmdt_to_biopsy,5.701369863013698,6.0,12
1012,PROSTAD,biopsy_to_pathrep,1.663013698630137,1.0,6
1012,PROSTAD,mri_to_report,0.34794520547945207,0.0,4
1012,PROSTAD,pathrep_to_treatmdt,2.1013698630136988,2.0,8
1012,PROSTAD,ref_to_mri,1.378082191780822,1.0,5
1012,PROSTAD,report_to_biopmdt,0.0,0.0,0
1012,PROSTAD,treatmdt_to_outpat,1.536986301369863,1.0,6
