seed,pathway_type,stage,mean_entering_per_day,mean_leaving_per_day,mean_net_per_day,total_entered,total_left,total_net
1001,PROSTAD,pathrep_to_treatmdt,0.16986301369863013,0.14520547945205478,0.024657534246575342,62,53,9
1001,PROSTAD,ref_to_mri,0.35342465753424657,0.33424657534246577,0.019178082191780823,129,122,7
1001,PROSTAD,report_to_biopmdt,0.33424657534246577,0.33424657534246577,0.0,122,122,0
1001,PROSTAD,treatmdt_to_outpat,0.14520547945205478,0.13972602739726028,0.005479452054794521,53,51,2
1002,BASELINE,biopmdt_to_biopsy,0.32602739726027397,0.20273972602739726,0.1232876712328767,119,74,45
1002,BASELINE,biopsy_to_pathrep,0.20273972602739726,0.20273972602739726,0.0,74,74,0
1002,BASELINE,mri_to_report,0.32602739726027397,0.32602739726027397,0.0,119,119,0
1002,BASELINE,pathrep_to_treatmdt,0.20273972602739726,0.1589041095890411,0.043835616438356165,74,58,16
1002,BASELINE,ref_to_mri,0.33972602739726027,0.32602739726027397,0.0136986301369863,124,119,5
1002,BASELINE,report_to_biopmdt,0.32602739726027397,0.32602739726027397,0.0,119,119,0
1002,BASELINE,treatmdt_to_outpat,0.1589041095890411,0.15616438356164383,0.0027397260273972603,58,57,1
1002,PROSTAD,biopmdt_to_biopsy,0.3452054794520548,0.1506849315068493,0.19452054794520549,126,55,71
1002,PROSTAD,biopsy_to_pathrep,0.1506849315068493,0.14794520547945206,0.0027397260273972603,55,54,1
1002,PROSTAD,mri_to_report,0.3452054794520548,0.3452054794520548,0.0,126,126,0
1002,PROSTAD,pathrep_to_treatmdt,0.14794520547945206,0.11232876712328767,0.03561643835616438,54,41,13
1002,PROSTAD,ref_to_mri,0.3780821917808219,0.3452054794520548,0.03287671232876712,138,126,12
1002,PROSTAD,report_to_biopmdt,0.3452054794520548,0.3452054794520548,0.0,126,126,0
1002,PROSTAD,treatmdt_to_outpat,0.11232876712328767,0.1095890410958904,0.0027397260273972603,41,40,1
1003,BASELINE,biopmdt_to_biopsy,0.3561643835616438,0.16986301369863013,0.1863013698630137,130,62,68
1003,BASELINE,biopsy_to_pathrep,0.16986301369863013,0.1643835616438356,0.005479452054794521,62,60,2
1003,BASELINE,mri_to_report,0.36164383561643837,0.3589041095890411,0.0027397260273972603,132,131,1
1003,BASELINE,pathrep_to_treatmdt,0.1643835616438356,0.13150684931506848,0.03287671232876712,60,48,12
1003,BASELINE,ref_to_mri,0.3835616438356164,0.36164383561643837,0.021917808219178082,140,132,8
1003,BASELINE,report_to_biopmdt,0.3589041095890411,0.3561643835616438,0.0027397260273972603,131,130,1
1003,BASELINE,treatmdt_to_outpat,0.13150684931506848,0.12602739726027398,0.005479452054794521,48,46,2
1003,PROSTAD,biopmdt_to_biopsy,0.3589041095890411,0.19452054794520549,0.1643835616438356,131,71,60
1003,PROSTAD,biopsy_to_pathrep,0.19452054794520549,0.19452054794520549,0.0,71,71,0
1003,PROSTAD,mri_to_report,0.3589041095890411,0.3589041095890411,0.0,131,131,0
1003,PROSTAD,pathrep_to_treatmdt,0.19452054794520549,0.16712328767123288,0.0273972602739726,71,61,10
1003,PROSTAD,ref_to_mri,0.3698630136986301,0.3589041095890411,0.010958904109589041,135,131,4
1003,PROSTAD,report_to_biopmdt,0.3589041095890411,0.3589041095890411,0.0,131,131,0
1003,PROSTAD,treatmdt_to_outpat,0.16712328767123288,0.1589041095890411,0.00821917808219178,61,58,3
1004,BASELINE,biopmdt_to_biopsy,0.37534246575342467,0.20273972602739726,0.1726027397260274,137,74,63
1004,BASELINE,biopsy_to_pathrep,0.20273972602739726,0.19452054794520549,0.00821917808219178,74,71,3
1004,BASELINE,mri_to_report,0.38904109589041097,0.3835616438356164,0.005479452054794521,142,140,2
1004,BASELINE,pathrep_to_treatmdt,0.19452054794520549,0.1506849315068493,0.043835616438356165,71,55,16
