scenario,seed,event,count
ALL_MC_BASELINE,14,referral_received,152
ALL_MC_BASELINE,14,mri_performed,148
ALL_MC_BASELINE,14,mri_report_ready,147
ALL_MC_BASELINE,14,MDT_occured,147
ALL_MC_BASELINE,14,biopsy_done,64
ALL_MC_BASELINE,14,Path_report_recieved,64
ALL_MC_BASELINE,14,Path_report_outcome,64
ALL_MC_BASELINE,14,Treatment_options_MDT_occured,52
ALL_MC_BASELINE,14,Outpatient_appointment_occured,51
PROSTAD,14,referral_received,152
PROSTAD,14,mri_performed,147
PROSTAD,14,mri_report_ready,147
PROSTAD,14,MDT_occured,147
PROSTAD,14,biopsy_done,80
PROSTAD,14,Path_report_recieved,78
PROSTAD,14,Path_report_outcome,78
PROSTAD,14,Treatment_options_MDT_occured,57
PROSTAD,14,Outpatient_appointment_occured,54
ALL_MC_BASELINE,15,referral_received,155
ALL_MC_BASELINE,15,mri_performed,148
ALL_MC_BASELINE,15,mri_report_ready,147
ALL_MC_BASELINE,15,MDT_occured,147
ALL_MC_BASELINE,15,biopsy_done,84
ALL_MC_BASELINE,15,Path_report_recieved,83
ALL_MC_BASELINE,15,Path_report_outcome,83
ALL_MC_BASELINE,15,Treatment_options_MDT_occured,66
ALL_MC_BASELINE,15,Outpatient_appointment_occured,64
PROSTAD,15,referral_received,155
PROSTAD,15,mri_performed,151
PROSTAD,15,mri_report_ready,151
PROSTAD,15,MDT_occured,151
PROSTAD,15,biopsy_done,82
PROSTAD,15,Path_report_recieved,82
PROSTAD,15,Path_report_outcome,82
PROSTAD,15,Treatment_options_MDT_occured,60
PROSTAD,15,Outpatient_appointment_occured,60
ALL_MC_BASELINE,16,referral_received,170
ALL_MC_BASELINE,16,mri_performed,157
ALL_MC_BASELINE,16,mri_report_ready,157
ALL_MC_BASELINE,16,MDT_occured,157
ALL_MC_BASELINE,16,biopsy_done,79
ALL_MC_BASELINE,16,Path_report_recieved,72
ALL_MC_BASELINE,16,Path_report_outcome,72
ALL_MC_BASELINE,16,Treatment_options_MDT_occured,55
ALL_MC_BASELINE,16,Outpatient_appointment_occured,54
PROSTAD,16,referral_received,170
PROSTAD,16,mri_performed,156
PROSTAD,16,mri_report_ready,156
PROSTAD,16,MDT_occured,156
PROSTAD,16,biopsy_done,86
PROSTAD,16,Path_report_recieved,81
PROSTAD,16,Path_report_outcome,81
PROSTAD,16,Treatment_options_MDT_occured,60
PROSTAD,16,Outpatient_appointment_occured,59
ALL_MC_BASELINE,17,referral_received,140
ALL_MC_BASELINE,17,mri_performed,127
ALL_MC_BASELINE,17,mri_report_ready,127
ALL_MC_BASELINE,17,MDT_occured,127
ALL_MC_BASELINE,17,biopsy_done,79
ALL_MC_BASELINE,17,Path_report_recieved,76
ALL_MC_BASELINE,17,Path_report_outcome,76
ALL_MC_BASELINE,17,Treatment_options_MDT_occured,61
ALL_MC_BASELINE,17,Outpatient_appointment_occured,58
PROSTAD,17,referral_received,140
PROSTAD,17,mri_performed,131
PROSTAD,17,mri_report_ready,131
PROSTAD,17,MDT_occured,131
PROSTAD,17,biopsy_done,80
PROSTAD,17,Path_report_recieved,78
PROSTAD,17,Path_report_outcome,78
PROSTAD,17,Treatment_options_MDT_occured,61
PROSTAD,17,Outpatient_appointment_occured,60
ALL_MC_BASELINE,18,referral_received,153
ALL_MC_BASELINE,18,mri_performed,145
ALL_MC_BASELINE,18,mri_report_ready,145
ALL_MC_BASELINE,18,MDT_occured,145
ALL_MC_BASELINE,18,biopsy_done,79
ALL_MC_BASELINE,18,Path_report_recieved,79
ALL_MC_BASELINE,18,Path_report_outcome,79
ALL_MC_BASELINE,18,Treatment_options_MDT_occured,60
ALL_MC_BASELINE,18,Outpatient_appointment_occured,59
PROSTAD,18,referral_received,153
PROSTAD,18,mri_performed,148
PROSTAD,18,mri_report_ready,148
PROSTAD,18,MDT_occured,148
PROSTAD,18,biopsy_done,79
PROSTAD,18,Path_report_recieved,79
PROSTAD,18,Path_report_outcome,79
PROSTAD,18,Treatment_options_MDT_occured,67
PROSTAD,18,Outpatient_appointment_occured,64
ALL_MC_BASELINE,19,referral_received,157
ALL_MC_BASELINE,19,mri_performed,145
ALL_MC_BASELINE,19,mri_report_ready,145
ALL_MC_BASELINE,19,MDT_occured,145
ALL_MC_BASELINE,19,biopsy_done,79
ALL_MC_BASELINE,19,Path_report_recieved,77
