scenario,seed,resource,mean_queue_len,peak_queue_len,mean_wait,peak_wait,n_wait_observations
PROSTAD,10,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,10,OUTPATIENT,0.0,0,0.0,0,0
ALL_MC_BASELINE,11,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,11,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,11,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,11,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,11,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,11,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,11,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,11,MRI,1.2383561643835617,7,3.5078125,10,128
PROSTAD,11,Biopsy,0.0,0,0.0,0,0
PROSTAD,11,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,11,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,11,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,11,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,11,OUTPATIENT,0.0,0,0.0,0,0
ALL_MC_BASELINE,12,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,12,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,12,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,12,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,12,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,12,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,12,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,12,MRI,2.0904109589041098,7,4.493975903614458,13,166
PROSTAD,12,Biopsy,0.0,0,0.0,0,0
PROSTAD,12,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,12,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,12,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,12,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,12,OUTPATIENT,0.0,0,0.0,0,0
ALL_MC_BASELINE,13,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,13,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,13,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,13,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,13,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,13,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,13,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,13,MRI,1.5835616438356164,8,4.213235294117647,11,136
PROSTAD,13,Biopsy,0.0,0,0.0,0,0
PROSTAD,13,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,13,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,13,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,13,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,13,OUTPATIENT,0.0,0,0.0,0,0
