week_start,weekly_arrivals,scenario,seed,stage
2026-05-04,2,OBS_MIX,19,biopsy_to_pathrep
2026-05-11,9,OBS_MIX,19,biopsy_to_pathrep
2026-05-18,4,OBS_MIX,19,biopsy_to_pathrep
2026-05-25,6,OBS_MIX,19,biopsy_to_pathrep
2026-06-01,3,OBS_MIX,19,biopsy_to_pathrep
2026-06-08,6,OBS_MIX,19,biopsy_to_pathrep
2026-06-15,10,OBS_MIX,19,biopsy_to_pathrep
2026-06-22,7,OBS_MIX,19,biopsy_to_pathrep
2026-06-29,3,OBS_MIX,19,biopsy_to_pathrep
2026-07-06,2,OBS_MIX,19,biopsy_to_pathrep
2026-07-13,7,OBS_MIX,19,biopsy_to_pathrep
2026-07-20,5,OBS_MIX,19,biopsy_to_pathrep
2026-07-27,3,OBS_MIX,19,biopsy_to_pathrep
2026-08-03,6,OBS_MIX,19,biopsy_to_pathrep
2026-08-10,6,OBS_MIX,19,biopsy_to_pathrep
2026-08-17,6,OBS_MIX,19,biopsy_to_pathrep
2026-08-24,6,OBS_MIX,19,biopsy_to_pathrep
2026-08-31,2,OBS_MIX,19,biopsy_to_pathrep
2026-09-07,4,OBS_MIX,19,biopsy_to_pathrep
2026-09-14,6,OBS_MIX,19,biopsy_to_pathrep
2026-09-21,5,OBS_MIX,19,biopsy_to_pathrep
2026-09-28,7,OBS_MIX,19,biopsy_to_pathrep
2026-10-05,6,OBS_MIX,19,biopsy_to_pathrep
2026-10-12,5,OBS_MIX,19,biopsy_to_pathrep
2026-10-19,6,OBS_MIX,19,biopsy_to_pathrep
2026-10-26,4,OBS_MIX,19,biopsy_to_pathrep
2026-11-02,5,OBS_MIX,19,biopsy_to_pathrep
2026-11-09,3,OBS_MIX,19,biopsy_to_pathrep
2026-11-16,7,OBS_MIX,19,biopsy_to_pathrep
2026-11-23,3,OBS_MIX,19,biopsy_to_pathrep
2026-11-30,5,OBS_MIX,19,biopsy_to_pathrep
2026-12-07,2,OBS_MIX,19,biopsy_to_pathrep
2026-12-14,5,OBS_MIX,19,biopsy_to_pathrep
2026-12-21,8,OBS_MIX,19,biopsy_to_pathrep
2026-12-28,8,OBS_MIX,19,biopsy_to_pathrep
2026-02-16,1,OBS_MIX,19,pathrep_to_treatmdt
2026-02-23,2,OBS_MIX,19,pathrep_to_treatmdt
2026-03-02,1,OBS_MIX,19,pathrep_to_treatmdt
2026-03-09,3,OBS_MIX,19,pathrep_to_treatmdt
2026-03-16,1,OBS_MIX,19,pathrep_to_treatmdt
2026-03-23,3,OBS_MIX,19,pathrep_to_treatmdt
2026-03-30,4,OBS_MIX,19,pathrep_to_treatmdt
2026-04-06,5,OBS_MIX,19,pathrep_to_treatmdt
2026-04-13,3,OBS_MIX,19,pathrep_to_treatmdt
2026-04-20,1,OBS_MIX,19,pathrep_to_treatmdt
2026-04-27,3,OBS_MIX,19,pathrep_to_treatmdt
2026-05-04,2,OBS_MIX,19,pathrep_to_treatmdt
2026-05-11,3,OBS_MIX,19,pathrep_to_treatmdt
2026-05-18,6,OBS_MIX,19,pathrep_to_treatmdt
2026-05-25,5,OBS_MIX,19,pathrep_to_treatmdt
2026-06-01,4,OBS_MIX,19,pathrep_to_treatmdt
2026-06-08,3,OBS_MIX,19,pathrep_to_treatmdt
2026-06-15,4,OBS_MIX,19,pathrep_to_treatmdt
