scenario,stage,week_start,weekly_arrivals_mean,weekly_arrivals_std
ALL_BASELINE,mri_to_report,2026-04-20,8.95,2.9464519251751624
ALL_BASELINE,mri_to_report,2026-04-27,9.05,3.2032056312059445
ALL_BASELINE,mri_to_report,2026-05-04,8.35,2.814903943392441
ALL_BASELINE,mri_to_report,2026-05-11,10.1,2.2687812633774618
ALL_BASELINE,mri_to_report,2026-05-18,8.4,2.962928849706157
ALL_BASELINE,mri_to_report,2026-05-25,9.35,3.328900561351814
ALL_BASELINE,mri_to_report,2026-06-01,7.9,2.5319017192200555
ALL_BASELINE,mri_to_report,2026-06-08,8.45,3.0517466957034367
ALL_BASELINE,mri_to_report,2026-06-15,7.75,3.209771265829914
ALL_BASELINE,mri_to_report,2026-06-22,8.95,3.086046696102687
ALL_BASELINE,mri_to_report,2026-06-29,9.25,3.385339911410592
ALL_BASELINE,mri_to_report,2026-07-06,10.05,2.9642608025042523
ALL_BASELINE,mri_to_report,2026-07-13,7.55,3.456115860631015
ALL_BASELINE,mri_to_report,2026-07-20,8.1,2.6337885460422137
ALL_BASELINE,mri_to_report,2026-07-27,8.9,2.2687812633774613
ALL_BASELINE,mri_to_report,2026-08-03,8.45,2.211810403980842
ALL_BASELINE,mri_to_report,2026-08-10,8.15,2.641271623569542
ALL_BASELINE,mri_to_report,2026-08-17,8.85,3.34467369189629
ALL_BASELINE,mri_to_report,2026-08-24,10.15,1.5985190514644287
ALL_BASELINE,mri_to_report,2026-08-31,8.4,3.515379742907174
ALL_BASELINE,mri_to_report,2026-09-07,8.45,3.3003189638515082
ALL_BASELINE,mri_to_report,2026-09-14,8.7,3.1805328914639777
ALL_BASELINE,mri_to_report,2026-09-21,8.5,1.8209309360006516
ALL_BASELINE,mri_to_report,2026-09-28,9.1,3.4473483326051912
ALL_BASELINE,mri_to_report,2026-10-05,8.3,2.6576602293628206
ALL_BASELINE,mri_to_report,2026-10-12,9.1,3.5967821876314887
ALL_BASELINE,mri_to_report,2026-10-19,9.4,3.7190830788473144
ALL_BASELINE,mri_to_report,2026-10-26,9.3,2.6377821625073787
ALL_BASELINE,mri_to_report,2026-11-02,8.2,2.4192212753171978
ALL_BASELINE,mri_to_report,2026-11-09,8.8,2.8022547312739734
ALL_BASELINE,mri_to_report,2026-11-16,8.6,1.8467610337532774
ALL_BASELINE,mri_to_report,2026-11-23,7.7,2.71642179501289
ALL_BASELINE,mri_to_report,2026-11-30,9.75,2.672964055520624
ALL_BASELINE,mri_to_report,2026-12-07,7.9,2.4039441275580957
ALL_BASELINE,mri_to_report,2026-12-14,9.1,3.0762246170812757
ALL_BASELINE,mri_to_report,2026-12-21,9.25,3.795773272581241
ALL_BASELINE,mri_to_report,2026-12-28,8.5,3.137212977016048
ALL_BASELINE,mri_to_report,2027-01-04,1.5,0.7071067811865476
ALL_BASELINE,pathrep_to_treatmdt,2026-02-16,1.0,0.0
ALL_BASELINE,pathrep_to_treatmdt,2026-02-23,1.4545454545454546,0.9341987329938275
ALL_BASELINE,pathrep_to_treatmdt,2026-03-02,1.2142857142857142,0.42581531362632
ALL_BASELINE,pathrep_to_treatmdt,2026-03-09,2.4444444444444446,1.3814835257889049
ALL_BASELINE,pathrep_to_treatmdt,2026-03-16,2.8333333333333335,1.200490095997562
ALL_BASELINE,pathrep_to_treatmdt,2026-03-23,3.05,1.8488972531299783
ALL_BASELINE,pathrep_to_treatmdt,2026-03-30,3.05,1.538112308540638
ALL_BASELINE,pathrep_to_treatmdt,2026-04-06,4.3,1.750187959830841
ALL_BASELINE,pathrep_to_treatmdt,2026-04-13,4.15,2.4767338424456895
ALL_BASELINE,pathrep_to_treatmdt,2026-04-20,3.8,2.166734141999259
ALL_BASELINE,pathrep_to_treatmdt,2026-04-27,4.05,1.9324105480761042
ALL_BASELINE,pathrep_to_treatmdt,2026-05-04,4.7,1.5252264715358452
ALL_BASELINE,pathrep_to_treatmdt,2026-05-11,4.0,2.054804667656325
ALL_BASELINE,pathrep_to_treatmdt,2026-05-18,4.25,2.3591925469711477
ALL_BASELINE,pathrep_to_treatmdt,2026-05-25,3.4,1.5008769366431642
ALL_BASELINE,pathrep_to_treatmdt,2026-06-01,3.9,1.0711528467275957
ALL_BASELINE,pathrep_to_treatmdt,2026-06-08,4.6,1.569445091341791
ALL_BASELINE,pathrep_to_treatmdt,2026-06-15,3.7777777777777777,1.8328876463610655
ALL_BASELINE,pathrep_to_treatmdt,2026-06-22,5.05,1.7614288458371994
ALL_BASELINE,pathrep_to_treatmdt,2026-06-29,5.2105263157894735,2.3470773165416943
ALL_BASELINE,pathrep_to_treatmdt,2026-07-06,4.55,2.0641042405337657
ALL_BASELINE,pathrep_to_treatmdt,2026-07-13,3.95,2.0384462607326044
ALL_BASELINE,pathrep_to_treatmdt,2026-07-20,4.25,2.0994986870303363
ALL_BASELINE,pathrep_to_treatmdt,2026-07-27,3.95,1.731290969494334
ALL_BASELINE,pathrep_to_treatmdt,2026-08-03,4.6,2.21002500581233
ALL_BASELINE,pathrep_to_treatmdt,2026-08-10,4.7,2.1788456625132104
ALL_BASELINE,pathrep_to_treatmdt,2026-08-17,4.05,1.6693837501494848
ALL_BASELINE,pathrep_to_treatmdt,2026-08-24,4.4,1.500876936643164
ALL_BASELINE,pathrep_to_treatmdt,2026-08-31,4.157894736842105,2.522414141138446
ALL_BASELINE,pathrep_to_treatmdt,2026-09-07,4.315789473684211,1.4926721593968975
ALL_BASELINE,pathrep_to_treatmdt,2026-09-14,3.65,1.7252002172135512
ALL_BASELINE,pathrep_to_treatmdt,2026-09-21,3.9,1.4473205733717955
ALL_BASELINE,pathrep_to_treatmdt,2026-09-28,4.7,1.719853114903161
ALL_BASELINE,pathrep_to_treatmdt,2026-10-05,4.25,1.996707816698066
ALL_BASELINE,pathrep_to_treatmdt,2026-10-12,4.105263157894737,2.2334511621182256
ALL_BASELINE,pathrep_to_treatmdt,2026-10-19,4.45,1.8771478925557026
ALL_BASELINE,pathrep_to_treatmdt,2026-10-26,3.85,1.8715318802914815
ALL_BASELINE,pathrep_to_treatmdt,2026-11-02,4.8,2.1908902300206643
ALL_BASELINE,pathrep_to_treatmdt,2026-11-09,4.8,1.7044832524535802
ALL_BASELINE,pathrep_to_treatmdt,2026-11-16,4.55,2.438183102661747
ALL_BASELINE,pathrep_to_treatmdt,2026-11-23,4.6,2.2337129816094383
ALL_BASELINE,pathrep_to_treatmdt,2026-11-30,4.6,1.6670175069329813
ALL_BASELINE,pathrep_to_treatmdt,2026-12-07,3.95,1.7614288458371994
ALL_BASELINE,pathrep_to_treatmdt,2026-12-14,5.2,1.9358120830939742
ALL_BASELINE,pathrep_to_treatmdt,2026-12-21,4.111111111111111,2.138963159732493
ALL_BASELINE,pathrep_to_treatmdt,2026-12-28,3.9,1.4832396974191329
ALL_BASELINE,pathrep_to_treatmdt,2027-01-04,1.5,0.674199862463242
ALL_BASELINE,ref_to_mri,2026-01-05,9.35,3.8426279384926416
ALL_BASELINE,ref_to_mri,2026-01-12,9.25,2.022895267471328
ALL_BASELINE,ref_to_mri,2026-01-19,8.5,3.4716900176927328
ALL_BASELINE,ref_to_mri,2026-01-26,9.15,3.030980386815982
ALL_BASELINE,ref_to_mri,2026-02-02,8.6,3.4397062298063217
ALL_BASELINE,ref_to_mri,2026-02-09,9.1,3.5526120857165013
ALL_BASELINE,ref_to_mri,2026-02-16,8.75,2.4468024246479643
ALL_BASELINE,ref_to_mri,2026-02-23,8.65,2.621269278723372
ALL_BASELINE,ref_to_mri,2026-03-02,9.1,2.9540338165758504
ALL_BASELINE,ref_to_mri,2026-03-09,7.65,3.7173136876824886
ALL_BASELINE,ref_to_mri,2026-03-16,8.15,2.92493814599467
ALL_BASELINE,ref_to_mri,2026-03-23,8.05,2.064104240533766
ALL_BASELINE,ref_to_mri,2026-03-30,9.55,2.038446260732604
ALL_BASELINE,ref_to_mri,2026-04-06,9.3,3.4351128074635335
ALL_BASELINE,ref_to_mri,2026-04-13,9.9,3.322966334942004
ALL_BASELINE,ref_to_mri,2026-04-20,8.2,3.3497839678968773
ALL_BASELINE,ref_to_mri,2026-04-27,8.6,2.5422741580594415
ALL_BASELINE,ref_to_mri,2026-05-04,7.75,3.3225703430041214
ALL_BASELINE,ref_to_mri,2026-05-11,8.5,2.7815179498365916
ALL_BASELINE,ref_to_mri,2026-05-18,9.05,3.5015034364954536
ALL_BASELINE,ref_to_mri,2026-05-25,8.65,2.5603248149199227
ALL_BASELINE,ref_to_mri,2026-06-01,9.6,2.9629288497061577
ALL_BASELINE,ref_to_mri,2026-06-08,8.55,2.5021043774769813
ALL_BASELINE,ref_to_mri,2026-06-15,9.75,3.0240265941464974
ALL_BASELINE,ref_to_mri,2026-06-22,6.65,2.4767338424456895
ALL_BASELINE,ref_to_mri,2026-06-29,8.2,2.9486839169543533
ALL_BASELINE,ref_to_mri,2026-07-06,8.6,2.798495836582292
ALL_BASELINE,ref_to_mri,2026-07-13,8.75,1.7434086394791455
ALL_BASELINE,ref_to_mri,2026-07-20,9.75,2.197486602557807
ALL_BASELINE,ref_to_mri,2026-07-27,8.7,2.4083189157584584
ALL_BASELINE,ref_to_mri,2026-08-03,8.45,2.8741131355236305
ALL_BASELINE,ref_to_mri,2026-08-10,8.9,3.2589956476772026
ALL_BASELINE,ref_to_mri,2026-08-17,9.6,2.1618705350983247
ALL_BASELINE,ref_to_mri,2026-08-24,8.25,2.9713544669764755
ALL_BASELINE,ref_to_mri,2026-08-31,8.75,2.381397201556042
ALL_BASELINE,ref_to_mri,2026-09-07,9.3,3.2783179255607027
ALL_BASELINE,ref_to_mri,2026-09-14,8.75,2.826100158391977
ALL_BASELINE,ref_to_mri,2026-09-21,9.8,2.930780388260186
ALL_BASELINE,ref_to_mri,2026-09-28,6.85,2.719810364906464
ALL_BASELINE,ref_to_mri,2026-10-05,8.95,2.6051568293028273
ALL_BASELINE,ref_to_mri,2026-10-12,8.8,2.7260922485067196
ALL_BASELINE,ref_to_mri,2026-10-19,8.9,2.5110283068684707
ALL_BASELINE,ref_to_mri,2026-10-26,8.55,2.645253942640031
ALL_BASELINE,ref_to_mri,2026-11-02,8.3,2.735728518386974
ALL_BASELINE,ref_to_mri,2026-11-09,8.35,2.300457620378583
ALL_BASELINE,ref_to_mri,2026-11-16,9.3,3.229795496214648
