scenario,seed,stage,total_arrivals,mean_daily_arrivals,peak_daily_arrivals,mean_in_stage,peak_in_stage,total_completed,completion_ratio
OBS_MIX,18,report_to_biopmdt,406,2.171122994652406,7,2.873972602739726,9,400,0.9852216748768473
OBS_MIX,18,biopmdt_to_biopsy,239,1.7969924812030076,6,18.315068493150687,28,217,0.9079497907949791
OBS_MIX,18,biopsy_to_pathrep,217,1.3395061728395061,4,5.2027397260273975,14,210,0.967741935483871
OBS_MIX,18,pathrep_to_treatmdt,180,1.2857142857142858,3,5.391780821917808,16,174,0.9666666666666667
OBS_MIX,18,treatmdt_to_outpat,174,1.2608695652173914,3,5.1506849315068495,12,170,0.9770114942528736
ALL_PROSTAD,18,ref_to_mri,466,2.1574074074074074,7,0.0,0,206,0.44206008583690987
ALL_PROSTAD,18,mri_to_report,206,3.9615384615384617,4,0.5643835616438356,4,206,1.0
ALL_PROSTAD,18,report_to_biopmdt,206,3.9615384615384617,4,0.0,0,206,1.0
ALL_PROSTAD,18,biopmdt_to_biopsy,121,2.372549019607843,4,9.64109589041096,17,113,0.9338842975206612
ALL_PROSTAD,18,biopsy_to_pathrep,113,1.313953488372093,3,2.745205479452055,8,111,0.9823008849557522
ALL_PROSTAD,18,pathrep_to_treatmdt,93,1.1481481481481481,3,2.9397260273972603,9,89,0.956989247311828
ALL_PROSTAD,18,treatmdt_to_outpat,89,1.1265822784810127,3,2.7013698630136984,9,86,0.9662921348314607
ALL_BASELINE,19,ref_to_mri,464,2.1187214611872145,7,29.273972602739725,42,436,0.9396551724137931
ALL_BASELINE,19,mri_to_report,436,1.7098039215686274,5,8.652054794520549,18,432,0.9908256880733946
ALL_BASELINE,19,report_to_biopmdt,432,1.7075098814229248,5,6.095890410958904,13,425,0.9837962962962963
ALL_BASELINE,19,biopmdt_to_biopsy,253,1.4213483146067416,4,18.389041095890413,28,233,0.9209486166007905
ALL_BASELINE,19,biopsy_to_pathrep,233,1.3314285714285714,3,5.391780821917808,13,223,0.9570815450643777
ALL_BASELINE,19,pathrep_to_treatmdt,179,1.2695035460992907,3,5.49041095890411,13,173,0.9664804469273743
ALL_BASELINE,19,treatmdt_to_outpat,173,1.3206106870229009,3,5.4,15,166,0.9595375722543352
OBS_MIX,19,ref_to_mri,464,2.1187214611872145,7,13.934246575342465,25,415,0.8943965517241379
OBS_MIX,19,mri_to_report,415,2.2311827956989245,6,4.682191780821918,14,413,0.9951807228915662
OBS_MIX,19,report_to_biopmdt,413,2.3202247191011236,7,2.947945205479452,8,409,0.9903147699757869
OBS_MIX,19,biopmdt_to_biopsy,245,1.6666666666666667,5,17.84931506849315,29,226,0.9224489795918367
OBS_MIX,19,biopsy_to_pathrep,226,1.4580645161290322,4,5.238356164383561,13,217,0.9601769911504425
OBS_MIX,19,pathrep_to_treatmdt,175,1.3059701492537314,5,5.361643835616438,14,166,0.9485714285714286
OBS_MIX,19,treatmdt_to_outpat,166,1.3387096774193548,5,5.2164383561643834,12,162,0.9759036144578314
ALL_PROSTAD,19,ref_to_mri,464,2.1187214611872145,7,0.0,0,206,0.44396551724137934
ALL_PROSTAD,19,mri_to_report,206,3.9615384615384617,4,0.5643835616438356,4,206,1.0
ALL_PROSTAD,19,report_to_biopmdt,206,3.9615384615384617,4,0.0,0,206,1.0
ALL_PROSTAD,19,biopmdt_to_biopsy,127,2.4901960784313726,4,9.306849315068494,17,114,0.8976377952755905
ALL_PROSTAD,19,biopsy_to_pathrep,114,1.4615384615384615,3,2.589041095890411,9,111,0.9736842105263158
ALL_PROSTAD,19,pathrep_to_treatmdt,85,1.25,4,2.6082191780821917,10,80,0.9411764705882353
ALL_PROSTAD,19,treatmdt_to_outpat,80,1.2121212121212122,4,2.6191780821917807,10,77,0.9625
ALL_BASELINE,20,ref_to_mri,443,2.1298076923076925,8,28.043835616438358,48,408,0.9209932279909706
ALL_BASELINE,20,mri_to_report,408,1.6929460580912863,5,7.572602739726028,17,398,0.9754901960784313
ALL_BASELINE,20,report_to_biopmdt,398,1.6514522821576763,4,5.5479452054794525,13,392,0.9849246231155779
ALL_BASELINE,20,biopmdt_to_biopsy,242,1.4578313253012047,5,16.898630136986302,32,221,0.9132231404958677
ALL_BASELINE,20,biopsy_to_pathrep,221,1.4635761589403973,4,4.865753424657535,15,216,0.9773755656108597
ALL_BASELINE,20,pathrep_to_treatmdt,187,1.3076923076923077,4,5.528767123287671,15,184,0.983957219251337
ALL_BASELINE,20,treatmdt_to_outpat,184,1.3142857142857143,3,5.293150684931507,13,179,0.9728260869565217
OBS_MIX,20,ref_to_mri,443,2.1298076923076925,8,14.408219178082192,27,411,0.927765237020316
OBS_MIX,20,mri_to_report,411,2.2096774193548385,8,4.550684931506849,13,406,0.9878345498783455
OBS_MIX,20,report_to_biopmdt,406,2.136842105263158,7,2.9917808219178084,8,404,0.9950738916256158
OBS_MIX,20,biopmdt_to_biopsy,249,1.8721804511278195,7,17.367123287671234,34,227,0.9116465863453815
OBS_MIX,20,biopsy_to_pathrep,227,1.474025974025974,5,5.021917808219178,14,221,0.973568281938326
OBS_MIX,20,pathrep_to_treatmdt,192,1.3061224489795917,4,5.6136986301369864,15,185,0.9635416666666666
OBS_MIX,20,treatmdt_to_outpat,185,1.3028169014084507,4,5.287671232876712,12,181,0.9783783783783784
ALL_PROSTAD,20,ref_to_mri,443,2.1298076923076925,8,0.0,0,205,0.46275395033860045
ALL_PROSTAD,20,mri_to_report,205,3.9423076923076925,4,0.5616438356164384,4,205,1.0
ALL_PROSTAD,20,report_to_biopmdt,205,3.9423076923076925,4,0.0,0,205,1.0
ALL_PROSTAD,20,biopmdt_to_biopsy,126,2.4705882352941178,4,9.038356164383561,15,120,0.9523809523809523
ALL_PROSTAD,20,biopsy_to_pathrep,120,1.348314606741573,3,2.728767123287671,10,118,0.9833333333333333
ALL_PROSTAD,20,pathrep_to_treatmdt,100,1.098901098901099,3,2.8986301369863012,8,97,0.97
ALL_PROSTAD,20,treatmdt_to_outpat,97,1.127906976744186,2,2.6904109589041094,8,95,0.979381443298969
