scenario,seed,stage,mean_wait_days,median_wait_days,p90_wait_days
OBS_MIX,8,mri_to_report,3.836461126005362,1.0,10.0
OBS_MIX,8,ref_to_mri,16.554959785522787,14.0,33.0
OBS_MIX,8,report_to_biopmdt,2.613941018766756,0.0,7.0
OBS_MIX,8,treatmdt_to_outpat,10.413793103448276,12.0,12.0
ALL_PROSTAD,8,biopsy_to_pathrep,8.586538461538462,7.0,15.0
ALL_PROSTAD,8,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,8,ref_to_mri,83.73684210526316,85.0,155.29999999999998
ALL_PROSTAD,8,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,8,treatmdt_to_outpat,9.523255813953488,12.0,12.0
ALL_BASELINE,9,biopsy_to_pathrep,8.763636363636364,7.0,16.0
ALL_BASELINE,9,mri_to_report,7.112299465240642,7.0,13.0
ALL_BASELINE,9,ref_to_mri,24.772727272727273,23.0,37.69999999999999
ALL_BASELINE,9,report_to_biopmdt,5.267379679144385,6.0,8.0
ALL_BASELINE,9,treatmdt_to_outpat,11.75438596491228,12.0,13.0
OBS_MIX,9,biopsy_to_pathrep,8.776255707762557,7.0,16.0
OBS_MIX,9,mri_to_report,3.8544474393530996,1.0,10.0
OBS_MIX,9,ref_to_mri,23.444743935309972,23.0,36.0
OBS_MIX,9,report_to_biopmdt,2.6792452830188678,0.0,7.0
OBS_MIX,9,treatmdt_to_outpat,11.75294117647059,12.0,13.0
ALL_PROSTAD,9,biopsy_to_pathrep,8.669642857142858,7.0,15.0
ALL_PROSTAD,9,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,9,ref_to_mri,95.76190476190476,95.0,172.20000000000002
ALL_PROSTAD,9,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,9,treatmdt_to_outpat,11.393258426966293,12.0,13.0
ALL_BASELINE,10,biopsy_to_pathrep,8.723809523809523,7.0,16.0
ALL_BASELINE,10,mri_to_report,7.2144846796657385,7.0,13.0
ALL_BASELINE,10,ref_to_mri,23.181058495821727,21.0,38.0
ALL_BASELINE,10,report_to_biopmdt,5.245125348189415,6.0,8.0
ALL_BASELINE,10,treatmdt_to_outpat,11.813253012048193,12.0,29.0
OBS_MIX,10,biopsy_to_pathrep,8.643835616438356,7.0,15.200000000000017
OBS_MIX,10,mri_to_report,4.048387096774194,1.0,10.0
OBS_MIX,10,ref_to_mri,17.741935483870968,15.0,29.0
OBS_MIX,10,report_to_biopmdt,2.564516129032258,0.0,7.0
OBS_MIX,10,treatmdt_to_outpat,11.64367816091954,12.0,26.0
